count,learning_rate,beta,n_hidden_1,n_hidden_2,n_hidden_3,batch_size,epochs,tpr,fpr
0,0.01,0.01,20,10,2,32,1000,0.9013452914798207,0.06078871297852737
1,0.01,0.05,20,10,2,32,1000,0.9013452914798207,0.06143577552556249
2,0.01,0.001,20,10,2,32,1000,0.9013452914798207,0.06078871297852737
3,0.01,0.005,20,10,2,32,1000,0.9013452914798207,0.06078871297852737
4,0.01,0.0001,20,10,2,32,1000,0.9192825112107623,0.07616348175916614
5,0.01,0.0005,20,10,2,32,1000,0.9237668161434978,0.07790773732073905
6,0.03,0.01,20,10,2,32,1000,0.9013452914798207,0.06401699242514823
7,0.03,0.05,20,10,2,32,1000,0.9013452914798207,0.06401699242514823
8,0.03,0.001,20,10,2,32,1000,0.9013452914798207,0.06401699242514823
9,0.03,0.005,20,10,2,32,1000,0.9013452914798207,0.06401699242514823
10,0.03,0.0001,20,10,2,32,1000,0.9013452914798207,0.06401699242514823
11,0.03,0.0005,20,10,2,32,1000,0.9013452914798207,0.06401699242514823
12,0.09,0.01,20,10,2,32,1000,0.9013452914798207,0.06260330142564759
13,0.09,0.05,20,10,2,32,1000,0.9013452914798207,0.06260330142564759
14,0.09,0.001,20,10,2,32,1000,0.9013452914798207,0.06260330142564759
15,0.09,0.005,20,10,2,32,1000,0.9013452914798207,0.06260330142564759
16,0.09,0.0001,20,10,2,32,1000,0.9013452914798207,0.06260330142564759
17,0.09,0.0005,20,10,2,32,1000,0.9013452914798207,0.06260330142564759
18,0.001,0.01,20,10,2,32,1000,0.905829596412556,0.05911479030250174
19,0.001,0.05,20,10,2,32,1000,0.905829596412556,0.060648047207432776
20,0.001,0.001,20,10,2,32,1000,0.8699551569506726,0.19162194667360619
21,0.001,0.005,20,10,2,32,1000,0.9147982062780269,0.06929195884119538
22,0.001,0.0001,20,10,2,32,1000,0.9103139013452914,0.24411841244610744
23,0.001,0.0005,20,10,2,32,1000,0.9192825112107623,0.4128399715855142
24,0.003,0.01,20,10,2,32,1000,0.905829596412556,0.05933985553625309
25,0.003,0.05,20,10,2,32,1000,0.9013452914798207,0.06182963968462734
26,0.003,0.001,20,10,2,32,1000,0.905829596412556,0.059044457416954445
27,0.003,0.005,20,10,2,32,1000,0.905829596412556,0.059107757013947014
28,0.003,0.0001,20,10,2,32,1000,0.9282511210762332,0.295566918223954
29,0.003,0.0005,20,10,2,32,1000,0.9282511210762332,0.08816227203353472
30,0.009,0.01,20,10,2,32,1000,0.9013452914798207,0.060648047207432776
31,0.009,0.05,20,10,2,32,1000,0.9013452914798207,0.06136544264001519
32,0.009,0.001,20,10,2,32,1000,0.9013452914798207,0.060648047207432776
33,0.009,0.005,20,10,2,32,1000,0.9013452914798207,0.060648047207432776
34,0.009,0.0001,20,10,2,32,1000,0.9372197309417041,0.1071591844198592
35,0.009,0.0005,20,10,2,32,1000,0.9237668161434978,0.07915262939492619
36,0.0001,0.01,20,10,2,32,1000,0.8923766816143498,0.0585802603723423
37,0.0001,0.05,20,10,2,32,1000,0.8923766816143498,0.058594326949451755
38,0.0001,0.001,20,10,2,32,1000,0.9327354260089686,0.34932937593630653
39,0.0001,0.005,20,10,2,32,1000,0.8923766816143498,0.05856619379523284
40,0.0001,0.0001,20,10,2,32,1000,0.8699551569506726,0.27974905226436725
41,0.0001,0.0005,20,10,2,32,1000,0.8878923766816144,0.47803855648785704
42,0.0003,0.01,20,10,2,32,1000,0.8923766816143498,0.0585802603723423
43,0.0003,0.05,20,10,2,32,1000,0.905829596412556,0.05893192480007877
44,0.0003,0.001,20,10,2,32,1000,0.8878923766816144,0.1541978182738903
45,0.0003,0.005,20,10,2,32,1000,0.9147982062780269,0.08368910051272674
46,0.0003,0.0001,20,10,2,32,1000,0.9147982062780269,0.2977542709644749
47,0.0003,0.0005,20,10,2,32,1000,0.8475336322869955,0.1650994155337211
48,0.0009,0.01,20,10,2,32,1000,0.9103139013452914,0.06737890435430895
49,0.0009,0.05,20,10,2,32,1000,0.905829596412556,0.060401882108017245
50,0.0009,0.001,20,10,2,32,1000,0.9282511210762332,0.21573909312777376
51,0.0009,0.005,20,10,2,32,1000,0.9237668161434978,0.06903876045322511
52,0.0009,0.0001,20,10,2,32,1000,0.9282511210762332,0.1564133041686301
53,0.0009,0.0005,20,10,2,32,1000,0.9641255605381166,0.47315745423087474
